trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.005, 'e': 0.8105842459701871}",30,0,-250.3659857037618,"{0: 15, 1: 3, 2: 5, 3: 4, 4: 3}",0
43,False,"{'a': 0.005, 'e': 0.8065414401773269}",25,0,-140.15885125611234,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
44,False,"{'a': 0.005, 'e': 0.8025187979624785}",20,0,-92.76511958482713,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
45,False,"{'a': 0.005, 'e': 0.7985162187593771}",25,17,-4.108276150869472,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.005, 'e': 0.794533602503334}",25,0,-158.67499361209406,"{0: 15, 1: 0, 2: 6, 3: 2, 4: 2}",0
47,False,"{'a': 0.005, 'e': 0.7905708496287356}",30,0,-131.49407430692952,"{0: 21, 1: 0, 2: 6, 3: 1, 4: 2}",0
48,False,"{'a': 0.005, 'e': 0.7866278610665535}",20,0,-154.61000488531155,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
49,False,"{'a': 0.005, 'e': 0.7827045382418681}",25,0,-105.89453866587469,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
50,False,"{'a': 0.005, 'e': 0.7788007830714049}",20,0,-99.2178483898946,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
51,False,"{'a': 0.005, 'e': 0.774916497961081}",20,0,-137.92820718224044,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
52,False,"{'a': 0.005, 'e': 0.7710515858035663}",20,0,-107.8056155084016,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
53,False,"{'a': 0.005, 'e': 0.7672059499758557}",20,0,-22.98615854173923,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
54,False,"{'a': 0.005, 'e': 0.7633794943368531}",25,0,-82.70678660820123,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
55,False,"{'a': 0.005, 'e': 0.7595721232249685}",20,0,-105.55919705482818,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
56,False,"{'a': 0.005, 'e': 0.7557837414557255}",30,5,-78.71693676202393,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",1
57,False,"{'a': 0.005, 'e': 0.7520142543193826}",35,25,15.488211962219994,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.005, 'e': 0.7482635675785653}",25,10,-105.33633384524377,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 3}",1
59,False,"{'a': 0.005, 'e': 0.7445315874659094}",20,0,-85.56539872946168,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
60,False,"{'a': 0.005, 'e': 0.7408182206817179}",20,0,-82.16998010562372,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
61,False,"{'a': 0.005, 'e': 0.7371233743916278}",25,0,-90.94444837172328,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 2}",0
62,False,"{'a': 0.005, 'e': 0.7334469562242892}",20,6,8.936117379893494,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.005, 'e': 0.7297888742690568}",25,17,-35.587273106283725,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
64,False,"{'a': 0.005, 'e': 0.7261490370736909}",20,0,-69.12581892356913,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
65,False,"{'a': 0.005, 'e': 0.7225273536420722}",20,0,-53.33521007490204,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
66,False,"{'a': 0.005, 'e': 0.7189237334319262}",30,10,-89.50583794797559,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",1
67,False,"{'a': 0.005, 'e': 0.7153380863525599}",20,0,-125.01024079802032,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
68,False,"{'a': 0.005, 'e': 0.7117703227626097}",30,0,-144.4987007022836,"{0: 18, 1: 5, 2: 4, 3: 1, 4: 2}",0
69,False,"{'a': 0.005, 'e': 0.7082203534678}",20,0,-110.72062821389238,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
70,False,"{'a': 0.005, 'e': 0.7046880897187134}",30,0,-48.16935321927096,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
71,False,"{'a': 0.005, 'e': 0.7011734432085724}",25,0,-82.04781274162899,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
72,False,"{'a': 0.005, 'e': 0.697676326071031}",20,7,-77.89584742492399,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 2}",1
73,False,"{'a': 0.005, 'e': 0.6941966508779789}",20,1,-4.097171300012871,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
74,False,"{'a': 0.005, 'e': 0.6907343306373547}",25,4,-43.94789885226395,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 0}",1
75,False,"{'a': 0.005, 'e': 0.6872892787909722}",20,3,-36.872573980139244,"{0: 13, 1: 1, 2: 1, 3: 2, 4: 0}",1
76,False,"{'a': 0.005, 'e': 0.6838614092123558}",25,0,-214.87875560909615,"{0: 16, 1: 0, 2: 3, 3: 2, 4: 4}",0
77,False,"{'a': 0.005, 'e': 0.6804506362045877}",20,0,-49.241200091520554,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
78,False,"{'a': 0.005, 'e': 0.6770568744981647}",20,7,-107.02447318418933,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 2}",1
79,False,"{'a': 0.005, 'e': 0.6736800392488677}",25,15,17.824833430661226,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.005, 'e': 0.6703200460356393}",30,0,-122.16150375814884,"{0: 22, 1: 0, 2: 5, 3: 1, 4: 2}",0
81,False,"{'a': 0.005, 'e': 0.6669768108584744}",20,1,-0.8376092446424883,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
82,False,"{'a': 0.005, 'e': 0.6636502501363194}",30,20,-17.689241777091226,"{0: 7, 1: 2, 2: 0, 3: 1, 4: 0}",1
83,False,"{'a': 0.005, 'e': 0.6603402807049829}",20,1,-186.18717064462805,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 4}",1
84,False,"{'a': 0.005, 'e': 0.6570468198150567}",25,0,-127.94479499187155,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
85,False,"{'a': 0.005, 'e': 0.6537697851298473}",35,0,-141.78675148415226,"{0: 26, 1: 2, 2: 3, 3: 1, 4: 3}",0
86,False,"{'a': 0.005, 'e': 0.6505090947233165}",20,0,-29.754396237228466,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
87,False,"{'a': 0.005, 'e': 0.6472646670780347}",20,0,-11.611095573916167,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
